delta,gamma,theta,rho,vega,date,spot
0.3809749886816367,0.0007594329900001452,-187.52591202934298,6.708863193297276,975.5224886661083,2025-01-02,3820.4
0.34466227472176614,0.0006371055227797474,-225.5210044167633,5.445228321222885,870.3830008125132,2025-01-03,3775.16
0.3457718388568575,0.0006484944293899585,-212.553915260698,5.267387595738256,760.9583805723606,2025-01-06,3768.97
0.3609146791750316,0.0007038340688686803,-220.4989568661338,5.561365958708308,668.5057593986729,2025-01-07,3796.11
0.35184261267918965,0.0007418521762329255,-202.65011036726025,5.425284565687463,794.2799325100659,2025-01-08,3789.22
0.3403438433451061,0.0006749231088272197,-222.14236590036649,5.182594907088344,647.0940681950359,2025-01-09,3779.88
0.32577961090646446,0.0006859988147118576,-217.017937754182,4.900350909684178,316.7976366808675,2025-01-10,3732.48
0.2931451273708943,0.0006374573708966045,-200.24273302321453,4.2814673283114075,617.1120746647076,2025-01-13,3722.51
0.3740436204344325,0.0006778388979569576,-235.85858945816415,5.516525569945685,454.9951373459999,2025-01-14,3820.54
0.39408394175253214,0.0007701887435514715,-175.35126191184105,6.519447257645311,931.9732361091551,2025-01-15,3796.03
0.377274823046766,0.0006835051560771987,-254.47393406241673,5.484176350797696,178.87964584623663,2025-01-16,3800.38
0.36544320584723783,0.0006566395442535392,-258.4038038125837,5.2584485560904,367.983633884792,2025-01-17,3812.34
0.3872659904676687,0.0007036162904439383,-245.88886494822273,5.520495637033463,321.3127014432965,2025-01-20,3829.68
0.38799872399308805,0.00072651235522574,-237.40746407075147,5.5145944426106155,459.15083925114607,2025-01-21,3832.61
0.3381193904100802,0.0007925943860766631,-203.00625201120596,4.853892699257528,841.0128381156645,2025-01-22,3797.02
0.37292807164746666,0.000705003430052255,-243.6974619031204,5.191541045968478,383.3018063004135,2025-01-23,3803.74
0.3883801265688051,0.0007813255735511374,-253.77308015039617,5.417997452471212,526.6595920917624,2025-01-24,3832.86
0.37463447618178247,0.0007195438116722561,-260.83069440746664,5.103340063686915,239.7066011395779,2025-01-27,3817.08
0.33772690086008444,0.0007888233508436919,-220.93456481605875,4.342094730506602,724.0489243121963,2025-02-05,3795.08
0.3794050346612057,0.0008844504393570819,-213.0292591065907,4.908686966399841,693.0312696076819,2025-02-06,3842.83
0.4298461697800954,0.0010150154754983661,-209.84145031868587,5.7380644923999,880.9554481686181,2025-02-07,3892.7
0.4293794332399815,0.0009303296225725379,-213.1014864887942,5.4563735800520305,859.3569957610804,2025-02-10,3901.06
0.43083879567535105,0.000978268391205424,-227.90920335791705,5.44383021662145,731.2290761629193,2025-02-11,3883.14
0.4602427577535869,0.0009651580762634614,-216.44406234850857,5.810347139168016,762.384416389242,2025-02-12,3919.86
0.44398396777665783,0.0010114205586884487,-217.64192686670168,5.572288261145417,709.9691451623511,2025-02-13,3905.14
0.4898038693392449,0.0010880456293222028,-203.99792796407533,6.157382342918879,765.4053232130669,2025-02-14,3939.01
0.5162954193636285,0.0011205639409332193,-207.267487737696,6.355716975251028,850.9206057153946,2025-02-17,3947.4
0.46901583632811333,0.001126710597159189,-200.89277309922508,5.701477837603932,812.333423048117,2025-02-18,3912.78
0.497455652064092,0.00122682636629918,-198.73492467149012,6.056093120368757,805.7046391771377,2025-02-19,3940.16
0.502435216019593,0.0011673654893341648,-199.43044325504164,6.103574419396722,872.2638916070706,2025-02-20,3928.9
0.550569255444808,0.0011549569235265826,-219.66958851295314,6.618104141970946,632.9102213961511,2025-02-21,3978.44
0.5506657350856531,0.0012586834313459974,-205.21481616647307,6.477580468336697,773.3654215631781,2025-02-24,3969.72
0.48385344033136884,0.0012054038337477395,-219.31861531543137,5.592224835274294,768.1231394829844,2025-02-25,3925.65
0.523001474183734,0.0011838456232395912,-220.66319773034738,6.019817773094047,629.6138974786297,2025-02-26,3959.94
0.534327710364735,0.001115230445653576,-232.13536123796774,6.089410299059125,344.9611507885506,2025-02-27,3968.12
0.44324654450051676,0.0011276809292637153,-225.55445020709985,4.953750613402661,641.7674170558795,2025-02-28,3890.05
0.4499477547174012,0.001335946603216768,-208.78635769078917,4.984768780139007,790.2233943275443,2025-03-03,3888.47
0.4545697052556359,0.0011901251687974398,-240.43911196448067,4.925585457875542,329.6708467040423,2025-03-04,3885.22
0.4709133318833776,0.0012333658107303686,-246.32087425129455,5.083365004679422,356.42254118047254,2025-03-05,3902.57
0.5232174303237505,0.001384452181638529,-200.26814419408038,5.649619698507593,731.7851623431218,2025-03-06,3956.24
0.5100362877306077,0.0012466098395774146,-242.79073034894827,5.4340337926996085,303.1016922703468,2025-03-07,3944.01
0.5121729988053374,0.0012894851488925497,-256.24165405923577,5.304462676919371,344.9412415099118,2025-03-10,3928.8
0.5310296742961493,0.0015060241111636593,-207.90283106561395,5.493772360102668,665.8710913048823,2025-03-11,3941.42
0.48483290566392034,0.0013911769016981446,-205.90336952178282,4.931094159195908,655.0326232342601,2025-03-12,3927.23
0.49713391327899753,0.0015392356976680482,-218.09522197805344,5.01810585911484,698.0499072699914,2025-03-13,3911.58
0.5867248585386238,0.0012450292981621156,-218.84716262069867,5.864163800530946,618.7909629002789,2025-03-14,4006.56
0.5661321710296717,0.0011927347075963294,-261.3406774447644,5.463702304189695,385.2191082298469,2025-03-17,3996.79
0.5986399830984798,0.0013501495815535515,-209.88099564632574,5.74823716472963,734.2522007940698,2025-03-18,4007.72
0.5674876746345338,0.0012365371474687464,-247.40573840067242,5.379655496372095,411.3943838322223,2025-03-19,4010.17
0.5620387188488895,0.0014574763504095623,-243.96572896377367,5.289151527718559,624.3451312611992,2025-03-20,3974.99
0.4741742118606228,0.001438105475428453,-244.58260329294293,4.379882078016962,592.3859827124458,2025-03-21,3914.7
0.5007681595355494,0.0015643806560371495,-226.42832915820938,4.509577494642045,650.1759279530686,2025-03-24,3934.85
0.5132683132362433,0.0017668272778115432,-209.94946846184027,4.592029027101702,687.7715206039655,2025-03-25,3932.3
0.4926677033874154,0.0015667041166747822,-250.94549848668723,4.338941598370738,430.53548624217893,2025-03-26,3919.36
0.5054295735571537,0.0016224159167126861,-242.45473325040822,4.414185669968333,429.4438749640676,2025-03-27,3932.41
0.47170723117796215,0.0014974078686634334,-258.2346720627833,4.047369842536639,365.6225890302379,2025-03-28,3915.17
0.45033188054677026,0.0016117586741427254,-242.96668872151656,3.7160299555115017,586.8205421248068,2025-03-31,3887.31
0.4449697097782401,0.0015058173546513385,-256.7959031330564,3.6257347484157663,472.1338510368185,2025-04-01,3887.68
0.4590577144622344,0.001575853382648184,-271.07867568558976,3.6954088888301015,478.0729175544005,2025-04-02,3884.39
0.42642456965762177,0.0014942151512305618,-253.8910320996775,3.3730292485802664,594.9022150758536,2025-04-03,3861.5
0.3335530851762988,0.0008060637596686305,-217.37762491971813,2.2737006170054883,296.37674866721306,2025-04-07,3589.44
0.2827288076080698,0.0010496475731430648,-241.47209771394702,1.977659393492381,537.9278005167207,2025-04-08,3650.76
0.2750604956983817,0.0011536638471971632,-230.44216167288593,1.9233028289733483,509.9592026632032,2025-04-09,3686.79
0.2922398440918264,0.0012486406897275904,-235.93314447169118,2.04675282054653,533.7169992747176,2025-04-10,3735.12
0.26072754801098513,0.001162986259491685,-222.5322064375743,1.7957410926422668,465.5217479097435,2025-04-11,3750.52
0.32680126698047285,0.0011527053136786397,-193.76150701453443,2.5185411668796007,715.1652009858366,2025-04-14,3759.14
0.2820638434499879,0.001565652836732238,-205.60237700384954,1.8991248651209318,498.128462000633,2025-04-15,3761.23
0.30931228480931067,0.0017360452588146215,-227.667424180496,2.035664770566349,489.6295886883741,2025-04-16,3772.82
0.31883513580725675,0.0014899884011144082,-237.07867213253755,2.16547500263669,553.5539623539197,2025-04-17,3772.22
0.33100875653780343,0.0012425051005794986,-188.5634992930981,2.398854300194003,609.0156175074617,2025-04-18,3772.52
0.343434278600024,0.0012679780834553755,-203.97846734109737,2.340390268243226,622.5138567059167,2025-04-21,3784.88
0.32390902510832154,0.0014137802711794156,-197.84541425743802,2.1921588703630235,557.7199395377356,2025-04-22,3783.95
0.29625840952082183,0.0018108221412054778,-194.56344249985426,1.9633792429786396,487.0084471768459,2025-04-23,3786.88
0.32774202320115575,0.001416329797738039,-185.26666065701812,2.1359377858336472,604.7616911091345,2025-04-24,3784.36
0.31250467770960677,0.0017175227091566396,-213.20421412277096,1.9683744168483202,521.8013329627629,2025-04-25,3786.99
0.304319960517887,0.0016022647126812217,-248.7299011937249,1.6303049797423839,292.0281659952809,2025-04-28,3781.62
0.2730738866564039,0.001665136702793378,-226.15380667845466,1.5158706550608585,457.33864550272995,2025-04-29,3775.08
0.2406722885659003,0.001545019445162115,-211.52517033999214,1.3976006402868109,439.27481696135106,2025-04-30,3770.57
0.301054102926981,0.002158056178528423,-222.73120885134412,1.5296992739053152,450.02118270948023,2025-05-06,3808.54
0.32404928979954545,0.0020504811757072927,-251.37947997722296,1.465032242642721,477.87159802608375,2025-05-07,3831.63
0.40999850298284246,0.001814825331810299,-205.90963339562967,1.93999587182266,581.1391813081625,2025-05-08,3852.9
0.3875810083374589,0.002315515062062646,-222.00701389268485,1.7833952823373735,502.6847305437889,2025-05-09,3846.16
0.5003175628296741,0.002884422977690987,-266.4216546710601,2.0291578767667744,511.12003946508395,2025-05-12,3890.61
0.5046358605425537,0.001972066809802182,-222.8124969813168,2.006373293146382,568.1634061331864,2025-05-13,3896.26
0.5986885930624287,0.0019239230338758964,-260.8957654804452,2.245323327706501,513.5670290211411,2025-05-14,3943.21
0.5098085710722686,0.002346338843490953,-331.45137186979696,1.9074668376221098,422.3831508542879,2025-05-15,3907.2
0.4496549859985816,0.0023636082146277354,-313.922120347275,1.6314647844782542,445.54059732185806,2025-05-16,3889.09
0.4102474507882687,0.002863129271671643,-293.5449635989499,1.3686820594065878,455.161532942803,2025-05-19,3877.15
