日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),股息率市值加权
2026/4/7,4440.62,6560.3,6.54591E+13,5.01221E+13,2.34096E+13,0.0283
2026/4/3,4440.79,6560.45,6.5493E+13,5.01323E+13,2.34151E+13,0.0283
2026/4/2,4478.91,6616.78,6.61411E+13,5.06043E+13,2.36258E+13,0.028
2026/4/1,4526.07,6686.44,6.63776E+13,5.08485E+13,2.38529E+13,0.0279
2026/3/31,4450.05,6574.14,6.57518E+13,5.0204E+13,2.34599E+13,0.0282
2026/3/30,4491.95,6636.04,6.60801E+13,5.04325E+13,2.36507E+13,0.0284
2026/3/27,4502.57,6651.72,6.60569E+13,5.03975E+13,2.36797E+13,0.0289
2026/3/26,4477.53,6614.74,6.58122E+13,5.01574E+13,2.35495E+13,0.0291
2026/3/25,4537.47,6703.28,6.63932E+13,5.06366E+13,2.38518E+13,0.0288
2026/3/24,4474.72,6610.59,6.58227E+13,5.01015E+13,2.353E+13,0.0291
2026/3/23,4418,6526.78,6.5158E+13,4.95704E+13,2.32086E+13,0.0293
2026/3/20,4567.02,6746.93,6.71065E+13,5.11491E+13,2.39884E+13,0.0285
2026/3/19,4583.25,6770.92,6.75443E+13,5.14701E+13,2.40803E+13,0.0284
2026/3/18,4658.33,6881.84,6.79809E+13,5.19815E+13,2.44631E+13,0.0282
2026/3/17,4637.44,6850.97,6.79415E+13,5.18935E+13,2.43675E+13,0.0283
2026/3/16,4671.56,6901.38,6.81487E+13,5.21533E+13,2.4541E+13,0.0282
2026/3/13,4669.14,6897.8,6.81201E+13,5.21773E+13,2.45334E+13,0.0282
2026/3/12,4687.56,6925.01,6.83497E+13,5.23958E+13,2.46259E+13,0.0281
2026/3/11,4704.5,6950.03,6.83498E+13,5.2462E+13,2.47043E+13,0.0281
2026/3/10,4674.76,6906.1,6.78144E+13,5.21024E+13,2.45431E+13,0.0283
2026/3/9,4615.46,6818.49,6.76592E+13,5.18155E+13,2.42177E+13,0.0281
2026/3/6,4660.44,6884.95,6.78479E+13,5.21222E+13,2.44458E+13,0.0281
2026/3/5,4647.69,6866.11,6.78137E+13,5.20555E+13,2.43756E+13,0.0281
2026/3/4,4602.62,6799.53,6.7482E+13,5.17274E+13,2.41445E+13,0.0282
2026/3/3,4655.9,6878.23,6.82701E+13,5.23501E+13,2.44166E+13,0.0279
2026/3/2,4728.67,6985.74,6.82697E+13,5.25774E+13,2.47797E+13,0.0279
2026/2/27,4710.65,6959.11,6.75241E+13,5.21455E+13,2.46896E+13,0.0282
2026/2/26,4726.87,6983.09,6.76303E+13,5.22563E+13,2.47693E+13,0.0281
2026/2/25,4735.89,6996.4,6.78873E+13,5.23956E+13,2.48167E+13,0.028
2026/2/24,4707.54,6954.53,6.76921E+13,5.21725E+13,2.46743E+13,0.0281
2026/2/13,4660.41,6884.89,6.7013E+13,5.17086E+13,2.44401E+13,0.0285
2026/2/12,4719.58,6972.31,6.79376E+13,5.24103E+13,2.47446E+13,0.0281
2026/2/11,4713.82,6962.88,6.80621E+13,5.24777E+13,2.47191E+13,0.0282
2026/2/10,4724.3,6978.22,6.80604E+13,5.25061E+13,2.47713E+13,0.0282
2026/2/9,4719.06,6970.39,6.79294E+13,5.24345E+13,2.47401E+13,0.0282
2026/2/6,4643.6,6858.16,6.71636E+13,5.17736E+13,2.43598E+13,0.0285
2026/2/5,4670.42,6895.07,6.73613E+13,5.1973E+13,2.44942E+13,0.0284
2026/2/4,4698.68,6936.26,6.75882E+13,5.21791E+13,2.46266E+13,0.0283
2026/2/3,4660.11,6879.27,6.68385E+13,5.16487E+13,2.44193E+13,0.0287
2026/2/2,4605.98,6799.36,6.65039E+13,5.12893E+13,2.41483E+13,0.0288
2026/1/30,4706.34,6947.51,6.78092E+13,5.22072E+13,2.46559E+13,0.0283
2026/1/29,4753.87,7017.31,6.84675E+13,5.26946E+13,2.49027E+13,0.028
2026/1/28,4717.99,6964.26,6.79142E+13,5.22873E+13,2.47208E+13,0.0282
2026/1/27,4705.69,6946.1,6.76201E+13,5.2175E+13,2.46665E+13,0.0283
2026/1/26,4706.96,6947.98,6.76578E+13,5.2198E+13,2.46767E+13,0.0283
2026/1/23,4702.5,6941.39,6.73196E+13,5.20128E+13,2.46604E+13,0.0285
2026/1/22,4723.71,6971.03,6.77349E+13,5.22252E+13,2.47661E+13,0.0283
2026/1/21,4723.07,6970.08,6.77785E+13,5.22427E+13,2.4766E+13,0.0283
2026/1/20,4718.88,6963.9,6.79723E+13,5.23684E+13,2.47459E+13,0.0282
2026/1/19,4734.46,6986.89,6.79236E+13,5.23604E+13,2.48232E+13,0.0282
2026/1/16,4731.87,6983.07,6.79536E+13,5.23735E+13,2.4811E+13,0.0282
2026/1/15,4751.43,7008.2,6.83911E+13,5.26655E+13,2.49194E+13,0.028
2026/1/14,4741.93,6994.02,6.85121E+13,5.27213E+13,2.48802E+13,0.028
2026/1/13,4761.03,7020.88,6.89899E+13,5.30602E+13,2.49879E+13,0.0278
2026/1/12,4789.92,7063.39,6.91376E+13,5.32734E+13,2.51443E+13,0.0277
2026/1/9,4758.92,7017.31,6.87654E+13,5.2946E+13,2.49816E+13,0.0279
2026/1/8,4737.65,6985.57,6.84873E+13,5.27008E+13,2.48767E+13,0.028
2026/1/7,4776.67,7043.03,6.89182E+13,5.30408E+13,2.50711E+13,0.0278
2026/1/6,4790.69,7063.68,6.92965E+13,5.3257E+13,2.51501E+13,0.0276
2026/1/5,4717.75,6956.12,6.84127E+13,5.2538E+13,2.47628E+13,0.028
2025/12/31,4629.94,6826.62,6.76457E+13,5.18245E+13,2.43079E+13,0.0283
2025/12/30,4651.28,6858.09,6.7704E+13,5.1922E+13,2.4418E+13,0.0285
2025/12/29,4639.37,6840.53,6.75724E+13,5.1812E+13,2.43594E+13,0.0282
2025/12/26,4657.24,6866.84,6.75212E+13,5.18279E+13,2.44433E+13,0.0282
2025/12/25,4642.54,6845.16,6.74627E+13,5.1807E+13,2.4373E+13,0.0282
2025/12/24,4634.06,6831.51,6.73695E+13,5.17135E+13,2.43276E+13,0.0282
2025/12/23,4620.73,6811.77,6.72711E+13,5.16158E+13,2.42568E+13,0.0283
2025/12/22,4611.62,6798.12,6.70724E+13,5.14673E+13,2.42064E+13,0.0284
2025/12/19,4568.18,6734.07,6.66549E+13,5.10491E+13,2.3993E+13,0.0286
2025/12/18,4552.79,6707.32,6.66226E+13,5.09952E+13,2.39165E+13,0.0285
2025/12/17,4579.88,6745.78,6.66246E+13,5.10848E+13,2.40472E+13,0.0285
2025/12/16,4497.55,6623.39,6.57094E+13,5.03224E+13,2.36289E+13,0.0289
2025/12/15,4552.06,6703.6,6.63087E+13,5.0802E+13,2.39067E+13,0.0287
2025/12/12,4580.95,6743.99,6.59438E+13,5.06626E+13,2.36301E+13,0.0289
2025/12/11,4552.18,6700.71,6.58071E+13,5.05551E+13,2.34868E+13,0.0289
2025/12/10,4591.83,6758.18,6.62454E+13,5.08719E+13,2.36932E+13,0.0288
2025/12/9,4598.22,6767.6,6.6536E+13,5.10804E+13,2.37351E+13,0.0286
2025/12/8,4621.75,6802.13,6.67575E+13,5.1237E+13,2.38458E+13,0.0285
2025/12/5,4584.54,6747.36,6.64652E+13,5.09481E+13,2.36548E+13,0.0286
2025/12/4,4546.57,6691.47,6.61686E+13,5.06875E+13,2.34647E+13,0.0288
2025/12/3,4531.05,6668.62,6.60709E+13,5.0601E+13,2.33857E+13,0.0288
2025/12/2,4554.33,6702.89,6.6464E+13,5.08534E+13,2.35097E+13,0.0286
2025/12/1,4576.49,6735.49,6.66341E+13,5.10036E+13,2.36201E+13,0.0285
2025/11/28,4526.66,6662.16,6.61042E+13,5.05327E+13,2.3367E+13,0.0288
2025/11/27,4515.4,6645.41,6.61244E+13,5.05057E+13,2.33132E+13,0.0288
2025/11/26,4517.63,6648.68,6.60101E+13,5.03971E+13,2.33258E+13,0.0288
2025/11/25,4490.4,6608.54,6.6001E+13,5.03155E+13,2.31888E+13,0.0288
2025/11/24,4448.05,6546.06,6.54656E+13,4.99094E+13,2.29714E+13,0.029
2025/11/21,4453.61,6554.04,6.57686E+13,5.01148E+13,2.30039E+13,0.0289
2025/11/20,4564.95,6717.62,6.70388E+13,5.11878E+13,2.35755E+13,0.0284
2025/11/19,4588.29,6750.96,6.71413E+13,5.13734E+13,2.36878E+13,0.0283
2025/11/18,4568.19,6721.39,6.66467E+13,5.10308E+13,2.35816E+13,0.0285
2025/11/17,4598.05,6764.12,6.70217E+13,5.13447E+13,2.37323E+13,0.0284
2025/11/14,4628.14,6808.31,6.75051E+13,5.16938E+13,2.38902E+13,0.0282
2025/11/13,4702.07,6917.02,6.8303E+13,5.23978E+13,2.42643E+13,0.0278
2025/11/12,4645.91,6834.4,6.78502E+13,5.19754E+13,2.39836E+13,0.028
